penalty,C,train_acc,test_acc,overfitting_gap
l2,0.01,0.8506493506493507,0.76,0.09064935064935065
l2,0.03,0.8636363636363636,0.76,0.10363636363636364
l2,0.1,0.8766233766233766,0.78,0.09662337662337661
l2,0.3,0.8766233766233766,0.82,0.05662337662337669
l2,1.0,0.8961038961038961,0.86,0.03610389610389608
l2,3.0,0.9090909090909091,0.86,0.049090909090909074
l2,10.0,0.9090909090909091,0.86,0.049090909090909074
l2,30.0,0.9155844155844156,0.88,0.03558441558441561
none,1.0,0.9285714285714286,0.9,0.02857142857142858
